epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7671,2.05074,4.63559,1.47237,0.00279,0.11154,0.01409,0.00163,1.8327,4.97276,1.37567,5.555e-05,5.555e-05,5.555e-05
2,44.9248,1.86964,4.30678,1.35892,0.00433,0.34863,0.07166,0.0414,1.86686,4.82533,1.27335,0.00011979,0.00011979,0.00011979
3,65.7176,1.86604,3.69986,1.31524,0.00362,0.46179,0.14471,0.06433,1.92762,4.61713,1.27857,0.000181391,0.000181391,0.000181391
4,87.2133,1.76633,3.05651,1.22997,0.0053,0.62812,0.1817,0.06869,1.90413,4.51619,1.24823,0.000240352,0.000240352,0.000240352
5,107.797,1.66605,2.87655,1.2056,0.00535,0.78829,0.19042,0.07418,1.92543,4.45822,1.23301,0.000296673,0.000296673,0.000296673
6,128.271,1.73252,2.72173,1.13537,0.00576,0.93368,0.24105,0.09061,1.93276,4.26537,1.19269,0.000350354,0.000350354,0.000350354
7,148.779,1.68415,2.42767,1.10572,0.00585,0.94017,0.2711,0.10314,1.87155,4.10717,1.20082,0.000401395,0.000401395,0.000401395
8,169.233,1.65509,2.1102,1.13683,0.00609,0.96239,0.22328,0.10482,1.86078,4.04905,1.24517,0.000449797,0.000449797,0.000449797
9,189.686,1.74446,2.34741,1.16574,0.00549,0.83795,0.22142,0.085,1.82806,4.10603,1.27912,0.000495559,0.000495559,0.000495559
10,209.957,1.63475,2.05534,1.16048,0.00596,0.85128,0.34127,0.13243,1.90658,3.9675,1.30305,0.000538682,0.000538682,0.000538682
11,230.411,1.74466,2.02405,1.22787,0.00719,0.94017,0.48559,0.17322,1.92908,3.87295,1.39639,0.000579164,0.000579164,0.000579164
12,250.699,1.68892,2.09515,1.25277,0.75385,0.37086,0.5606,0.17921,2.00107,3.8698,1.44904,0.000617007,0.000617007,0.000617007
13,271.596,1.75231,2.00761,1.27628,0.79971,0.2,0.50231,0.16597,1.9724,3.85894,1.44264,0.00065221,0.00065221,0.00065221
14,292.14,1.61057,1.87751,1.22042,0.78352,0.3312,0.59992,0.2121,1.99593,3.54582,1.49846,0.000684774,0.000684774,0.000684774
15,312.99,1.55974,2.02231,1.17751,0.61248,0.22922,0.58047,0.23078,1.98163,3.49122,1.54988,0.000714697,0.000714697,0.000714697
16,333.626,1.54562,1.67491,1.19275,0.67852,0.29295,0.59669,0.21478,1.97885,3.4437,1.47908,0.000741981,0.000741981,0.000741981
17,354.819,1.57203,1.6707,1.1897,0.61615,0.33033,0.62963,0.24054,2.0048,3.28149,1.46012,0.000759035,0.000759035,0.000759035
18,848.661,1.49755,1.96807,1.15234,0.56242,0.47094,0.60617,0.2338,2.07213,3.03162,1.52376,0.000737037,0.000737037,0.000737037
